date,open,high,low,close,volume,quote_volume
2025-04-10,1668.79,1668.8,1472.9,1521.26,30538.52318617,46457033.782192975
2025-04-11,1521.32,1591.01,1505.17,1566.21,26750.80820519,41897383.31905063
2025-04-12,1566.22,1668.28,1546.42,1643.34,18654.6026718,30655854.75467581
2025-04-13,1643.35,1647.99,1562.5,1596.65,19812.68534242,31633924.051974896
2025-04-14,1596.65,1690.88,1595.39,1622.99,19362.566898,31425252.44978502
2025-04-15,1622.99,1659.87,1583.03,1588.98,14022.83226789,22282000.01703185
2025-04-16,1588.62,1613.59,1538.85,1577.06,20623.02779052,32523752.207317468
2025-04-17,1577.29,1615.66,1564.02,1582.34,12557.77157116,19870664.26790931
2025-04-18,1582.48,1599.27,1574.11,1588.4,6990.22817809,11103278.438078158
2025-04-19,1588.34,1630.0,1585.54,1613.14,9780.41289465,15777175.256875703
2025-04-20,1613.14,1618.62,1566.55,1587.49,10671.15100835,16940345.51424554
2025-04-21,1587.3,1657.12,1564.32,1580.07,19686.26581742,31105678.03013082
2025-04-22,1580.07,1777.77,1538.02,1757.59,28963.5706252,50906082.09514527
2025-04-23,1757.59,1834.44,1746.54,1796.05,27727.02451984,49799122.38885863
2025-04-24,1796.05,1802.39,1723.73,1770.0,16118.01056901,28528878.707147703
2025-04-25,1770.0,1827.85,1740.27,1786.61,22180.9216731,39628656.47037719
2025-04-26,1786.6,1840.0,1779.91,1820.85,13976.64962844,25449382.475944974
2025-04-27,1821.62,1857.05,1784.49,1791.82,12195.27327963,21851734.567906626
2025-04-28,1791.82,1826.99,1746.58,1799.56,14783.75446982,26604253.19370928
2025-04-29,1799.56,1842.0,1782.31,1798.99,12274.23844826,22081232.226035256
2025-04-30,1798.98,1816.56,1733.43,1793.92,11976.03629869,21484051.036945965
2025-05-01,1793.87,1872.85,1792.79,1838.84,15053.62660473,27681210.74584171
2025-05-02,1838.73,1869.99,1814.41,1843.01,16850.30790356,31055285.969340112
2025-05-03,1843.01,1847.5,1811.86,1833.85,7731.59587612,14178587.09742266
2025-05-04,1833.83,1850.62,1803.72,1809.09,11790.49663962,21330069.565770146
2025-05-05,1808.95,1832.44,1783.04,1819.9,9463.6040202,17222812.956361983
2025-05-06,1819.9,1820.11,1752.41,1816.54,11568.08885054,21013896.12055993
2025-05-07,1816.55,1848.62,1788.72,1811.43,21448.50222974,38852460.39401793
2025-05-08,1811.43,2223.0,1809.0,2208.36,59326.67961335,131014666.19093762
2025-05-09,2208.06,2488.8,2186.57,2345.79,52184.32087583,122413458.06731324
2025-05-10,2345.61,2598.7,2318.83,2585.0,47052.677501,121631171.340085
2025-05-11,2584.99,2606.65,2434.8,2515.58,30980.70594058,77934444.25000423
2025-05-12,2515.12,2624.0,2408.57,2495.4,49251.47190927,122902123.00239237
2025-05-13,2495.41,2736.66,2416.26,2680.2,38626.79991585,103527549.13446116
2025-05-14,2680.2,2725.0,2548.63,2610.35,28788.83353871,75148931.62777165
2025-05-15,2610.49,2645.09,2473.8,2547.87,29236.09193957,74489761.57007222
2025-05-16,2548.66,2647.09,2530.0,2537.43,25868.89746586,65640516.49679713
2025-05-17,2537.43,2537.43,2447.63,2475.74,12931.52955548,32015104.98168405
2025-05-18,2475.75,2585.0,2308.0,2497.69,24528.63851369,61264935.12925837
2025-05-19,2498.98,2547.21,2350.33,2528.52,22509.22919583,56915036.20624007
2025-05-20,2528.75,2588.0,2445.05,2524.81,23681.98556185,59792513.9664145
2025-05-21,2524.82,2615.25,2442.69,2552.1,43029.89905163,109816605.36966492
2025-05-22,2551.67,2692.01,2545.44,2664.5,43979.95800464,117184598.10336328
2025-05-23,2664.31,2731.8,2501.6,2526.82,55401.77039659,139990301.47351155
2025-05-24,2526.82,2577.19,2516.23,2531.68,9579.74025327,24252836.804398596
2025-05-25,2531.67,2554.18,2463.62,2551.43,14295.08985297,36472921.10356325
2025-05-26,2550.95,2599.0,2526.98,2563.64,13032.46589986,33410550.87951709
2025-05-27,2563.64,2711.0,2512.11,2663.04,33095.51883955,88134690.49047524
2025-05-28,2663.03,2689.57,2610.6,2682.41,29047.88806406,77918345.42191517
2025-05-29,2682.4,2787.34,2620.2,2631.26,37646.85288669,99058658.12663196
2025-05-30,2631.27,2647.13,2508.57,2531.46,24705.7642487,62541653.96501411
2025-05-31,2531.45,2550.0,2479.01,2529.11,25473.20040508,64424525.87649188
2025-06-01,2529.33,2547.35,2470.54,2538.28,21623.94398572,54887624.54007337
2025-06-02,2540.63,2615.52,2476.05,2608.13,37110.87920838,96789997.38975212
2025-06-03,2608.14,2654.99,2579.1,2594.64,19787.50307988,51341446.99117984
2025-06-04,2594.64,2680.0,2585.39,2608.18,21974.52746449,57313523.04233352
2025-06-05,2608.17,2641.35,2393.21,2416.63,31471.18301037,76054204.99835046
2025-06-06,2416.64,2530.85,2385.58,2478.03,30881.09778721,76524286.74964
2025-06-07,2478.02,2543.18,2458.83,2525.68,17238.40598937,43538697.23923202
2025-06-08,2525.54,2547.1,2494.02,2511.12,11564.90582193,29040866.307564866
2025-06-09,2511.12,2696.49,2480.0,2681.57,29817.26697285,79957088.59638537
2025-06-10,2681.06,2825.42,2655.59,2816.32,38449.84035993,108287054.40247808
2025-06-11,2816.36,2880.51,2744.37,2771.98,33951.42377047,94112667.66326743
2025-06-12,2771.98,2784.93,2618.64,2643.89,30849.00191076,81561367.66183925
2025-06-13,2643.89,2645.0,2440.77,2579.64,37424.0436697,96540560.0121049
2025-06-14,2579.52,2580.2,2489.95,2533.18,10299.39541591,26090222.47967489
2025-06-15,2531.43,2558.18,2493.47,2546.96,12347.54670408,31448707.553423595
2025-06-16,2547.47,2679.0,2515.87,2541.11,27186.99114229,69085135.06158455
2025-06-17,2545.53,2617.47,2455.85,2510.11,21808.47946107,54741682.38002642
2025-06-18,2510.11,2547.17,2466.05,2525.79,20806.14277384,52551947.35673734
2025-06-19,2525.5,2546.37,2485.77,2521.43,7224.27630446,18215507.002354577
2025-06-20,2521.43,2568.09,2366.73,2406.04,23313.04595301,56092121.08478019
2025-06-21,2406.71,2448.51,2217.24,2296.29,19934.82597032,45776141.52738611
2025-06-22,2296.43,2314.0,2114.63,2227.41,42446.83668109,94546508.49182668
2025-06-23,2227.41,2442.18,2190.68,2413.73,34637.51728752,83605614.60240565
2025-06-24,2413.32,2481.81,2378.37,2448.24,27590.12403842,67547245.27582137
2025-06-25,2448.24,2469.38,2391.43,2419.12,20293.04951264,49091321.93701767
2025-06-26,2419.11,2520.0,2396.67,2416.21,16998.2426506,41071323.87480623
2025-06-27,2416.22,2463.09,2380.39,2424.18,13650.80119555,33091999.2422284
2025-06-28,2424.35,2447.98,2405.8,2437.56,4071.75859584,9925155.88287575
2025-06-29,2437.56,2523.77,2415.0,2501.2,7261.83494912,18163301.574738946
2025-06-30,2501.2,2522.45,2435.45,2486.1,14104.19724421,35064444.76883048
2025-07-01,2486.1,2499.95,2386.2,2405.76,17164.01401404,41292498.35441688
2025-07-02,2405.76,2618.09,2373.31,2570.49,28822.71769168,74088507.59928653
2025-07-03,2570.5,2636.65,2557.22,2591.13,30532.87412442,79114646.1300084
2025-07-04,2591.36,2602.74,2475.22,2508.0,17856.72977104,44784678.26576833
2025-07-05,2508.0,2529.0,2489.37,2516.99,6819.52152058,17164667.472084653
2025-07-06,2516.99,2605.0,2505.0,2572.17,11571.11065475,29762863.69282831
2025-07-07,2572.17,2589.22,2515.0,2542.52,17369.4695563,44162223.73628387
2025-07-08,2542.52,2627.0,2525.01,2615.74,23272.28666038,60874251.10902237
2025-07-09,2615.75,2795.41,2592.19,2770.33,55374.4515272,153405504.29934797
2025-07-10,2770.33,3000.3,2757.68,2951.71,58201.39172132,171793629.95773745
2025-07-11,2951.72,3039.25,2916.07,2958.01,42294.37759959,125107191.88336322
2025-07-12,2958.01,2980.68,2905.34,2942.64,10959.83647228,32250853.196790017
2025-07-13,2942.64,3019.71,2938.61,2973.24,19663.44594076,58464144.00890526
2025-07-14,2973.25,3081.76,2964.59,3014.59,48232.60517518,145401529.23504588
2025-07-15,3014.29,3144.09,2935.0,3140.01,45854.02613509,143982100.60444394
2025-07-16,3140.01,3423.0,3101.92,3372.67,52537.04504199,177190115.70176843
2025-07-17,3372.46,3524.0,3312.11,3479.33,60830.26089768,211648551.64912492
2025-07-18,3479.34,3675.93,3461.76,3549.05,69989.80709475,248397324.86962247
2025-07-19,3549.18,3609.01,3512.07,3596.18,12575.8898475,45225163.55178255
2025-07-20,3596.18,3822.85,3581.4,3760.07,42201.77821032,158681640.19527793
2025-07-21,3759.0,3859.67,3706.71,3764.17,42037.6390746,158236819.8754371
2025-07-22,3764.17,3800.0,3618.0,3749.04,45507.00439243,170607579.74739575
2025-07-23,3749.04,3765.91,3530.0,3629.0,52061.58452841,188931490.25359988
2025-07-24,3629.0,3773.86,3515.0,3706.09,44719.16823416,165733262.20093805
2025-07-25,3709.34,3745.0,3575.0,3725.52,28434.19767673,105932172.12861116
2025-07-26,3725.52,3793.2,3701.31,3742.2,14354.99607502,53719266.31193984
2025-07-27,3742.45,3878.86,3732.49,3875.0,15864.4542278,61474760.132725
2025-07-28,3875.01,3939.3,3755.33,3797.08,31592.83688576,119960529.08218156
2025-07-29,3798.36,3885.48,3716.23,3792.87,28769.35921188,109118439.47396328
2025-07-30,3792.86,3831.5,3663.75,3806.85,25998.77571475,98973439.32969604
2025-07-31,3808.01,3877.25,3685.49,3698.08,32435.26236521,119948195.0475358
2025-08-01,3697.68,3722.99,3429.88,3485.96,57910.06943977,201872185.66426063
2025-08-02,3485.96,3536.0,3369.0,3392.97,33364.78385669,113205710.68223348
2025-08-03,3392.97,3518.23,3350.0,3496.8,18341.30157739,64135863.35581736
2025-08-04,3496.95,3736.1,3490.84,3719.99,36905.20713242,137287001.48053107
2025-08-05,3720.0,3720.0,3544.32,3611.38,58255.79486687,210383812.46631697
2025-08-06,3611.38,3698.6,3565.35,3683.56,25721.15483636,94745417.10902224
2025-08-07,3683.56,3927.5,3650.36,3912.74,50916.50482268,199223045.07989293
2025-08-08,3912.75,4070.0,3880.42,4008.37,78958.7836631,316496019.6716601
2025-08-09,4008.37,4323.41,4008.0,4262.91,57341.33857955,244440965.64414948
2025-08-10,4262.91,4329.93,4161.83,4251.61,56525.261058,240323365.16680336
2025-08-11,4251.62,4362.74,4168.3,4225.0,62555.98522514,264299037.5762165
2025-08-12,4225.01,4634.45,4221.44,4590.0,74155.29673329,340372812.0058011
2025-08-13,4590.01,4782.99,4565.31,4750.83,80090.90291867,380498264.31310505
2025-08-14,4750.83,4790.39,4446.98,4549.29,91899.43327771,418077172.8159534
2025-08-15,4549.3,4669.23,4368.45,4443.2,52885.57152723,234981171.40978837
2025-08-16,4443.2,4491.81,4374.88,4424.21,22809.93090601,100915924.4136785
2025-08-17,4423.99,4581.39,4400.0,4472.99,19422.38550301,86876136.13110869
2025-08-18,4472.99,4482.35,4228.77,4312.56,47317.32654038,204058809.7449812
2025-08-19,4312.56,4353.36,4067.32,4074.66,53618.70862734,218478007.2954772
2025-08-20,4074.64,4378.12,4065.0,4334.99,54336.99414559,235550326.2511912
2025-08-21,4335.0,4337.29,4205.0,4223.73,25886.95038826,109339488.9634054
2025-08-22,4224.57,4889.93,4207.02,4830.0,119591.52706168,577627075.7079144
2025-08-23,4830.01,4830.53,4659.21,4776.69,37064.65115903,177046348.54482698
2025-08-24,4776.67,4956.01,4710.0,4779.18,56659.31072111,270785044.6121145
2025-08-25,4779.81,4796.28,4335.28,4377.69,69124.74799836,302606718.0649406
2025-08-26,4377.59,4633.0,4310.0,4600.83,48504.99152468,223163220.15649348
2025-08-27,4601.11,4661.12,4480.15,4506.04,42494.71089709,191482867.09072343
2025-08-28,4506.12,4629.55,4430.0,4512.18,31189.68398612,140733468.28849095
2025-08-29,4512.13,4513.98,4265.0,4359.78,42283.10155559,184345020.50003016
2025-08-30,4360.76,4413.53,4261.15,4374.39,14195.08019999,62094816.87603426
2025-08-31,4374.39,4497.84,4374.38,4391.93,24949.71122985,109577385.24171512
2025-09-01,4392.91,4491.18,4213.21,4314.38,30777.72273799,132786791.4263293
2025-09-02,4314.55,4416.48,4258.4,4325.58,35363.59751947,152968070.15826905
