date,M,S,R,Sent,Mac,regime,price,fwd3d,fwd7d,fwd14d,fwd30d,conflict_BULL_fear,conflict_BEAR_greed,clean_BULL,clean_BEAR
2026-01-24,-0.30494410560569035,1.0,-0.6567414642646291,0.30000000000000004,-0.003597262398628065,BEAR,89185.0386990064,0.0844781163248376,-11.753824799868795,-22.446342512825666,,False,True,False,False
2026-01-25,-0.3131932050352657,1.0,-0.8381517594431942,0.30000000000000004,0.03483620474017651,BEAR,86445.6705926359,3.160503746878729,-11.02960755582747,-18.419755719563646,,False,True,False,False
2026-01-26,-0.31355506227455393,1.0,-0.5114860290868439,-0.006084978103396373,0.02008876168173518,BEAR,88337.4545511397,-4.320995278727279,-10.891023282413425,-20.482085278268936,,False,False,False,True
2026-01-27,-0.3190677483109363,1.0,-0.8723729006756255,-0.01790343859670314,0.006987498848882667,BEAR,89260.3805397429,-5.874214829484858,-15.209003625003369,-23.046717145911632,,False,False,False,True
2026-01-28,-0.40185092051926585,1.0,-0.8392596317922937,0.2108225303576413,0.0937917622929601,BEAR,89177.7892507306,-11.74665108444003,-18.03430867844511,-24.88071620198571,,False,False,False,True
2026-01-29,-0.35941985848189784,1.0,-0.8562320566072409,0.1773763300844617,0.10095097396220759,BEAR,84520.3973106371,-9.00296872174623,-24.87649080459914,-21.650221226326916,,False,False,False,True
2026-01-30,-0.41525176294758087,1.0,-0.8338992948209676,0.18880041764687422,0.1307535085744888,BEAR,84017.0340292227,-6.308759029145705,-15.91264910124629,-18.039428600391084,,False,False,False,True
2026-01-31,-0.2768589118794891,1.0,-0.5767108608112237,0.30000000000000004,0.1485524101657491,BEAR,78702.38550263,-3.8342160222927024,-12.116692523735551,-11.313896421814484,,False,True,False,False
2026-02-01,-0.3459340394905749,1.0,-0.27814510701535283,0.30000000000000004,0.40067433303964645,BEAR,76911.0523772648,-4.961394747151049,-8.306300512694008,,,False,True,False,False
2026-02-02,-0.23610187389119391,1.0,0.1325987206660827,-0.18247182012859472,0.10806325751743756,BEAR,78716.6018088837,-19.337614954714677,-10.763294955403325,,,False,False,False,True
2026-02-03,-0.2855122961905793,1.0,0.12287459280738267,0.009104989802999827,0.12297204750674856,BEAR,75684.7660277616,-6.655325864436401,-9.24356813339613,,,False,False,False,True
2026-02-04,-0.34429844283906885,1.0,-0.184330634865256,-0.19999999999999996,0.11802592767835446,BEAR,73095.1914646406,-5.375089583163472,-8.352772255262087,,,False,False,False,True
2026-02-05,-0.40434572365512006,1.0,-0.23779362279097244,-0.19999999999999996,0.11513168794580125,BEAR,63494.6884456458,11.068486145426304,4.294620436167995,,,False,False,False,True
